,UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS,REGIAO
225,AM,5,0,1,2.0,995,32.78280364576671,2.192895503350512,N
226,AM,5,0,2,1.0,1345,172.49342300426432,1.9850560520191165,N
227,AM,5,0,2,2.0,114,165.49633237133236,2.3322390572390574,N
228,AM,5,0,3,1.0,2144,447.56919349653487,2.196522692456773,N
229,AM,5,0,3,2.0,227,459.4489437845606,2.340554648138066,N
230,AM,5,0,4,1.0,3710,1120.8655034583462,1.1759217215529079,N
231,AM,5,0,4,2.0,723,1055.5205802722317,1.1935162311929186,N
232,AM,5,1,1,1.0,53772,33.683015722239254,2.0226189407598003,N
233,AM,5,1,1,2.0,21014,32.58290565759664,2.1883567390430723,N
234,AM,5,1,2,1.0,15733,162.9059330434235,1.7624941046011442,N
235,AM,5,1,2,2.0,2247,163.74262312739287,1.8516031126544936,N
236,AM,5,1,3,1.0,13610,419.68621429125864,2.0398452956071504,N
237,AM,5,1,3,2.0,1922,420.8487797103629,2.0276980569841543,N
238,AM,5,1,4,1.0,15039,1193.1188866800967,1.2189334720641327,N
239,AM,5,1,4,2.0,2905,1126.0818832220034,1.2144573350042924,N
240,AP,1,0,1,1.0,1695,24.627704409949057,3.8664114207181006,N
241,AP,1,0,1,2.0,323,32.63771161442503,3.6429834009134874,N
242,AP,1,0,2,1.0,389,162.54548146916454,4.33027269704024,N
243,AP,1,0,2,2.0,57,169.84855514855516,5.079283679283679,N
244,AP,1,0,3,1.0,602,390.6664504297261,2.9103058806116366,N
245,AP,1,0,3,2.0,82,391.74320124320127,3.2345048114278887,N
246,AP,1,0,4,1.0,269,995.2858240584203,1.387892716258101,N
247,AP,1,0,4,2.0,39,974.5972222222222,1.66875,N
248,AP,1,1,1,1.0,3170,23.4279192290294,3.6067956485381165,N
249,AP,1,1,1,2.0,626,23.584199196477492,4.108783431277899,N
250,AP,1,1,2,1.0,482,148.48588305029824,3.5399629857906194,N
251,AP,1,1,2,2.0,73,161.0153846153846,4.848717948717948,N
252,AP,1,1,3,1.0,570,381.58699026477063,3.2880720403111177,N
253,AP,1,1,3,2.0,81,384.25341516772,3.3162250850753523,N
254,AP,1,1,4,1.0,228,1074.0221978021978,1.6050398152572067,N
255,AP,1,1,4,2.0,26,1449.9629629629628,1.2777777777777777,N
256,AP,2,0,1,1.0,6122,23.762954315658128,3.811062351144426,N
257,AP,2,0,1,2.0,1786,24.094236689386502,4.0696972842499015,N
258,AP,2,0,2,1.0,998,157.06806859082468,4.543212236354963,N
