UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS
AM,1,0,3,2.0,1092,373.3333333333333,3.2124542124542126
AM,1,0,4,1.0,2733,961.1884376143432,1.5718990120746432
AM,1,0,4,2.0,625,924.6336,1.7184
AM,1,1,1,1.0,22628,32.28469153261446,3.691267456248895
AM,1,1,1,2.0,10389,27.8990278178843,4.4703051304264125
AM,1,1,2,1.0,2916,156.33299039780522,3.8916323731138545
AM,1,1,2,2.0,1051,156.3396764985728,5.206470028544244
AM,1,1,3,1.0,4784,399.07169732441474,3.1262541806020065
AM,1,1,3,2.0,1370,379.33576642335765,3.5233576642335764
AM,1,1,4,1.0,2580,1060.2523255813953,1.5872093023255813
AM,1,1,4,2.0,553,1013.0777576853526,1.8517179023508137
AM,2,0,1,1.0,26238,48.95476027136215,3.995007241405595
AM,2,0,1,2.0,7344,33.28540305010893,4.840822440087146
AM,2,0,2,1.0,8031,149.72257502179056,4.0627568173328354
AM,2,0,2,2.0,986,154.81744421906694,5.185598377281948
AM,2,0,3,1.0,5573,349.1015610981518,3.2006100843351875
AM,2,0,3,2.0,1043,361.98082454458296,3.3163950143815915
AM,2,0,4,1.0,2637,973.4372392870687,1.459233978005309
AM,2,0,4,2.0,484,945.2706611570248,1.5537190082644627
AM,2,1,1,1.0,33011,32.21689739783709,4.111175062857836
AM,2,1,1,2.0,19927,26.587946002910623,5.066141416169017
AM,2,1,2,1.0,4081,153.83876500857633,4.114677775055133
AM,2,1,2,2.0,1786,154.46304591265397,5.589585666293393
AM,2,1,3,1.0,4562,374.2786058746164,3.335160017536168
AM,2,1,3,2.0,1547,358.80349062702004,3.728506787330317
AM,2,1,4,1.0,1845,1068.3322493224932,1.5761517615176153
AM,2,1,4,2.0,439,1037.2779043280182,1.7813211845102506
AM,3,0,1,1.0,34552,48.8885737439222,3.4654144477888402
AM,3,0,1,2.0,9797,32.47065428192304,4.02459936715321
AM,3,0,2,1.0,9180,149.10217864923746,3.480392156862745
AM,3,0,2,2.0,715,151.57902097902098,4.138461538461539
AM,3,0,3,1.0,6437,362.12148516389624,2.8836414478794468
AM,3,0,3,2.0,707,356.0806223479491,3.021216407355021
AM,3,0,4,1.0,6446,1023.2198262488365,1.3217499224325162
AM,3,0,4,2.0,846,964.224586288416,1.2742316784869976
AM,3,1,1,1.0,34494,32.92227633791384,3.632428828202006
AM,3,1,1,2.0,23051,25.074703917400548,4.493210706693853
AM,3,1,2,1.0,3523,152.4010786261709,3.3621913142208344
AM,3,1,2,2.0,1028,154.29377431906616,4.632295719844358
